id,climate,energy,environment,resources,sustainability,dedicated
N0231503XX,0,0,0,0,0,0
N022870601,0,0,0,0,0,0
N022880015,0,0,0,0,0,0
N021660202,0,0,0,0,0,0
N022870401,0,0,0,0,0,0
N021653201,0,0,0,0,0,0
N022710422,0,0,0,0,0,0
N021514301,0,0,0,0,0,0
N021651101,0,0,0,0,0,0
N021658016,0,0,0,0,0,0
N021658013,0,0,0,0,0,0
N021656301,0,0,0,0,0,0
N021653001,0,0,0,0,0,0
N021656201,0,0,0,0,0,0
N026170101,0,0,0,0,0,0
N022610844,0,0,0,0,0,0
N021653801,0,0,0,0,0,0
N021660001,0,0,0,0,0,0
N021658006,0,0,0,0,0,0
N021653501,0,0,0,0,0,0
I025102401,0,0,0,0,0,0
N011330601,0,0,0,0,0,0
N011350101,0,0,0,0,0,0
N011375502,0,0,0,0,0,0
N011445003,0,0,0,0,0,0
N011461515,0,0,0,0,0,0
N011352501,0,0,0,0,0,0
N011376001,0,0,0,0,0,0
N011320101,0,0,0,0,0,0
N011445008,0,0,0,0,0,0
N011445002,0,0,0,0,0,0
N011376501,0,0,0,0,0,0
N011420102,0,0,0,0,0,0
N011390501,0,0,0,0,0,0
N011320501,0,0,0,0,0,0
N011375001,0,0,0,0,0,0
N011422001,0,0,0,0,0,0
N011352002,0,0,0,0,0,0
N011390101,0,0,0,0,0,0
N011420502,0,0,0,0,0,0
N011461001,0,0,0,0,0,0
N011402002,0,0,0,0,0,0
N011370502,0,0,0,0,0,0
N011380501,0,0,0,0,0,0
N011374001,0,0,0,0,0,0
N011445009,0,0,0,0,0,0
N011400501,0,0,0,0,0,0
N011360601,0,0,0,0,0,0
N011461509,0,0,0,0,0,0
N011445005,0,0,0,0,0,0
N011461506,0,0,0,0,0,0
N011421001,0,0,0,0,0,0
N011310501,0,0,0,0,0,0
N011301801,0,0,0,0,0,0
N011421501,0,0,1,0,0,0
N011450101,0,0,0,0,0,0
N011460201,0,0,0,0,0,0
N011430501,0,0,0,0,0,0
N011451201,0,0,0,0,0,0
N011381002,0,0,0,0,0,0
N011346001,0,0,0,0,0,0
N011401001,0,0,0,0,0,0
N011410102,0,0,0,0,0,0
N011461505,0,0,0,0,0,0
N011346501,0,0,0,0,0,0
N011354501,0,0,0,0,0,0
N011445006,0,0,0,0,0,0
N011374501,0,0,0,0,0,0
N011445001,0,0,0,0,0,0
N011370101,0,0,0,0,0,0
N011301601,0,0,0,0,0,0
N011381501,0,0,0,0,0,0
N011445004,0,0,0,0,0,0
N011310105,0,0,0,0,0,0
N011311005,0,0,0,0,0,0
N011380102,0,0,0,0,0,0
N011321001,0,0,0,0,0,0
N011350501,0,0,0,0,0,0
N011483001,0,0,0,0,0,0
N011461501,0,0,0,0,0,0
N011461512,0,0,0,0,0,0
N011371002,0,0,0,0,0,0
N011300501,0,0,0,0,0,0
N011461516,0,0,0,0,0,0
N011460601,0,0,0,0,0,0
N011391501,0,0,0,0,0,0
N011445007,0,0,0,0,0,0
N011402501,0,0,0,0,0,0
N011400101,0,0,0,0,0,0
N011351501,0,0,0,0,0,0
N011461513,0,0,0,0,0,0
N011431001,0,0,0,0,0,0
N011452001,0,0,0,0,0,0
N011461502,0,0,0,0,0,0
N011461504,0,0,0,0,0,0
N011391001,0,0,0,0,0,0
N011401501,0,0,0,0,0,0
N011484002,0,0,0,0,0,0
N011382001,0,0,0,0,0,0
N011353602,0,0,0,0,0,0
N011331001,0,0,0,0,0,0
N011156001,0,0,0,0,0,0
N011302001,0,0,0,0,0,0
N011300101,0,0,0,0,0,0
N011377001,0,0,0,0,0,0
N011461510,0,0,0,0,0,0
N011340501,0,0,0,0,0,0
N011345701,0,0,0,0,0,0
N011461508,0,0,0,0,0,0
N011452501,0,0,0,0,0,0
N011383501,0,0,0,0,0,0
N011311501,0,0,0,0,0,0
N011331501,0,0,0,0,0,0
N011347501,0,0,0,0,0,0
N011371501,0,0,0,0,0,0
N011347001,0,0,0,0,0,0
N011353001,0,0,0,0,0,0
N011410501,0,0,0,0,0,0
N011461511,0,0,0,0,0,0
N011461514,0,0,0,0,0,0
N011461503,0,0,0,0,0,0
N011340101,0,0,0,0,0,0
N011330201,0,0,0,0,1,1
N011461507,0,0,0,0,0,0
N011430101,0,0,0,0,0,0
N011301001,0,0,0,0,0,0
N011360102,0,0,0,0,0,0
P01Z021105,0,0,0,0,0,0
P01Z021110,0,0,0,0,0,0
P01Z070316,0,0,0,0,0,0
P01Z070119,0,0,0,0,0,0
P011112601,0,0,0,0,0,0
P011020201,0,0,0,0,0,0
P010077309,0,0,0,0,0,0
P01Z022101,0,0,0,0,0,0
P01Z070305,0,0,0,0,0,0
